"States","Monthly per Capita in Rs. Rural : 2011-12","Monthly per Capita in Rs. Urban : 2011-12"
"Andhra Pradesh","860.11 ","1,009.39 "
"Arunachal Pradesh","930.38 ","1,060.33 "
"Assam","828.07 ","1,003.78 "
"Bihar","777.67 ","922.83 "
"Chhattisgarh","738.11 ","849.45 "
"Delhi","1,144.72 ","1,134.13 "
"Goa","1,089.80 ","1,134.28 "
"Gujarat","931.53 ","1,151.85 "
"Haryana","1,014.93 ","1,168.77 "
"Himachal Pradesh","913.04 ","1,064.04 "
"Jammu & Kashmir","890.82 ","988.28 "
"Jharkhand","748.21 ","973.60 "
"Karnataka","901.77 ","1,088.57 "
"Kerala","1,017.61 ","986.51 "
"Madhya Pradesh","770.55 ","896.65 "
"Maharashtra","967.11 ","1,126.46 "
"Manipur","1,117.69 ","1,170.40 "
"Meghalaya","888.19 ","1,154.14 "
"Mizoram","1,066.35 ","1,154.98 "
"Nagaland","1,269.50 ","1,301.95 "
"Orissa","694.57 ","860.70 "
"Punjab","1,053.80 ","1,154.87 "
"Rajasthan","904.79 ","1,002.38 "
"Sikkim","930.20 ","1,225.94 "
"Tamil Nadu","879.96 ","936.96 "
"Tripura","798.25 ","919.63 "
"Uttarakhand","879.76 ","1,081.64 "
"Uttar Pradesh","768.38 ","940.57 "
"West Bengal","783.12 ","981.13 "
"Puducherry","1,300.51 ","1,309.40 "
