"States","%age of Persons 2011-12 Rural","%age of Persons 2011-12 Urban","%age of Persons 2011-12 Total","Number of Persons in Lakh 2011-12 Rural","Number of Persons in Lakh 2011-12 Urban","Number of Persons in Lakh 2011-12 Total"
"Andhra Pradesh","10.96 ","5.81 ","9.20 ","61.80 ","16.98 ","78.78 "
"Arunachal Pradesh","38.93 ","20.33 ","34.67 ","4.25 ","0.66 ","4.91 "
"Assam","33.89 ","20.49 ","31.98 ","92.06 ","9.21 ","101.27 "
"Bihar","34.06 ","31.23 ","33.74 ","320.40 ","37.75 ","358.15 "
"Chhattisgarh","44.61 ","24.75 ","39.93 ","88.90 ","15.22 ","104.11 "
"Delhi","12.92 ","9.84 ","9.91 ","0.50 ","16.46 ","16.96 "
"Goa","6.81 ","4.09 ","5.09 ","0.37 ","0.38 ","0.75 "
"Gujarat","21.54 ","10.14 ","16.63 ","75.35 ","26.88 ","102.23 "
"Haryana","11.64 ","10.28 ","11.16 ","19.42 ","9.41 ","28.83 "
"Himachal Pradesh","8.48 ","4.33 ","8.06 ","5.29 ","0.30 ","5.59 "
"Jammu & Kashmir","11.54 ","7.20 ","10.35 ","10.73 ","2.53 ","13.27 "
"Jharkhand","40.84 ","24.83 ","36.96 ","104.09 ","20.24 ","124.33 "
"Karnataka","24.53 ","15.25 ","20.91 ","92.80 ","36.96 ","129.76 "
"Kerala","9.14 ","4.97 ","7.05 ","15.48 ","8.46 ","23.95 "
"Madhya Pradesh","35.74 ","21.00 ","31.65 ","190.95 ","43.10 ","234.06 "
"Maharashtra","24.22 ","9.12 ","17.35 ","150.56 ","47.36 ","197.92 "
"Manipur","38.80 ","32.59 ","36.89 ","7.45 ","2.78 ","10.22 "
"Meghalaya","12.53 ","9.26 ","11.87 ","3.04 ","0.57 ","3.61 "
"Mizoram","35.43 ","6.36 ","20.40 ","1.91 ","0.37 ","2.27 "
"Nagaland","19.93 ","16.48 ","18.88 ","2.76 ","1.00 ","3.76 "
"Orissa","35.69 ","17.29 ","32.59 ","126.14 ","12.39 ","138.53 "
"Punjab","7.66 ","9.24 ","8.26 ","13.35 ","9.82 ","23.18 "
"Rajasthan","16.05 ","10.69 ","14.71 ","84.19 ","18.73 ","102.92 "
"Sikkim","9.85 ","3.66 ","8.19 ","0.45 ","0.06 ","0.51 "
"Tamil Nadu","15.83 ","6.54 ","11.28 ","59.23 ","23.40 ","82.63 "
"Tripura","16.53 ","7.42 ","14.05 ","4.49 ","0.75 ","5.24 "
"Uttarakhand","11.62 ","10.48 ","11.26 ","8.25 ","3.35 ","11.60 "
"Uttar Pradesh","30.40 ","26.06 ","29.43 ","479.35 ","118.84 ","598.19 "
"West Bengal","22.52 ","14.66 ","19.98 ","141.14 ","43.83 ","184.98 "
"Puducherry","17.06 ","6.30 ","9.69 ","0.69 ","0.55 ","1.24 "
"Andaman & Nicobar Islands","1.57 ","0.00 ","1.00 ","0.04 ","0.00 ","0.04 "
"Chandigarh","1.64 ","22.31 ","21.81 ","0.00 ","2.34 ","2.35 "
"Dadra & Nagar Haveli","62.59 ","15.38 ","39.31 ","1.15 ","0.28 ","1.43 "
"Daman & Diu","0.00 ","12.62 ","9.86 ","0.00 ","0.26 ","0.26 "
"Lakshadweep","0.00 ","3.44 ","2.77 ","0.00 ","0.02 ","0.02 "
